,Bins,Contribution,accum,step1,step2,mapped
138,1.37,1948,2.47254837,0.0861308924275,195.101150741,97.6872827713
139,1.38,2027,2.443067473,0.0896238803647,195.190774621,97.7155005955
140,1.39,2090,2.412670299,0.0924094277071,195.283184049,97.7448627771
141,1.4,2189,2.380833258,0.0967867163879,195.379970765,97.7751375474
142,1.41,1953,2.352428625,0.0863519676134,195.466322733,97.8068463858
143,1.42,2149,2.321173348,0.0950181149007,195.561340848,97.8351366377
144,1.43,2060,2.291212497,0.0910829765917,195.652423824,97.8662660547
145,1.44,1980,2.262415173,0.0875457736172,195.739969598,97.8961062589
146,1.45,1932,2.234315967,0.0854234518326,195.82539305,97.9247876203
147,1.46,1893,2.20678398,0.0836990653825,195.909092115,97.952773676
148,1.47,2146,2.175572336,0.0948854697892,196.003977585,97.9801947957
149,1.48,2000,2.14648413,0.0884300743608,196.092407659,98.0112807561
150,1.49,1925,2.118486733,0.0851139465723,196.177521606,98.0402518281
151,1.5,2047,2.088714954,0.0905081811083,196.268029787,98.068136485
152,1.51,1721,2.063684554,0.0760940789875,196.344123866,98.0977883773
153,1.52,1895,2.036123479,0.0837874954569,196.427911361,98.1227179849
154,1.53,1731,2.010947637,0.0765362293593,196.504447591,98.1501680757
155,1.54,1655,1.986877147,0.0731758865336,196.577623477,98.1752425386
156,1.55,1633,1.963126627,0.0722031557156,196.649826633,98.1992161007
157,1.56,1632,1.939390652,0.0721589406785,196.721985574,98.2228709811
158,1.57,1575,1.91648369,0.0696386835592,196.791624257,98.2465113759
159,1.58,1498,1.894696624,0.0662341256963,196.857858383,98.2693260952
160,1.59,1634,1.87093156,0.0722473707528,196.930105754,98.2910254282
161,1.6,1503,1.849071774,0.0664552008822,196.996560954,98.3146947941
162,1.61,1437,1.828171898,0.0635370084283,197.060097963,98.3364665548
163,1.62,1392,1.807926507,0.0615473317552,197.121645295,98.3572822701
164,1.63,1339,1.788451953,0.0592039347846,197.180849229,98.3774461363
165,1.64,1305,1.769471899,0.0577006235205,197.238549853,98.396842269
166,1.65,1438,1.74855748,0.0635812234655,197.302131076,98.4157458936
167,1.66,1195,1.731177277,0.0528369694306,197.354968046,98.4365760944
168,1.67,1290,1.712415384,0.0570373979627,197.412005444,98.45388631
169,1.68,1317,1.693260801,0.0582312039666,197.470236648,98.4725726515
170,1.69,1196,1.675866054,0.0528811844678,197.523117832,98.4916501025
171,1.7,1311,1.656798735,0.0579659137435,197.581083746,98.5089748036
172,1.71,1225,1.63898221,0.054163420546,197.635247166,98.5279653413
173,1.72,1151,1.622241947,0.0508915077947,197.686138674,98.545710123
174,1.73,1150,1.605516229,0.0508472927575,197.736985967,98.562382975
175,1.74,1155,1.58871779,0.0510683679434,197.788054335,98.5790413414
176,1.75,1161,1.571832087,0.0513336581665,197.839387993,98.5957721356
177,1.76,1104,1.555775398,0.0488134010472,197.888201394,98.6125898429
178,1.77,1126,1.539398738,0.0497861318652,197.937987526,98.6285818747
179,1.78,1091,1.523531122,0.0482386055638,197.986226132,98.6448925883
180,1.79,1068,1.50799802,0.0472216597087,198.033447791,98.6606963081
181,1.8,1085,1.492217669,0.0479733153408,198.081421107,98.6761668606
182,1.81,1085,1.476437317,0.0479733153408,198.129394422,98.6918836672
183,1.82,987,1.462082288,0.0436402416971,198.173034664,98.7076004739
184,1.83,1033,1.44705823,0.0456741334074,198.218708797,98.7218976979
185,1.84,992,1.43263048,0.043861316883,198.262570114,98.7368612567
186,1.85,1004,1.418028201,0.0443918973291,198.306962011,98.7512309084
187,1.86,890,1.405083949,0.0393513830906,198.346313394,98.7657743866
188,1.87,926,1.39161611,0.0409431244291,198.387256519,98.7786665137
189,1.88,929,1.378104639,0.0410757695406,198.428332288,98.7920801201
190,1.89,1008,1.363444183,0.0445687574779,198.472901046,98.8055371831
191,1.9,983,1.34914733,0.0434633815484,198.516364427,98.8201386034
192,1.91,941,1.335461329,0.0416063499868,198.557970777,98.8343778853
193,1.92,950,1.321644432,0.0420042853214,198.599975063,98.8480087748
194,1.93,955,1.307754814,0.0422253605073,198.642200423,98.861770034
195,1.94,910,1.29451968,0.0402356838342,198.682436107,98.8756037209
196,1.95,865,1.281939031,0.0382460071611,198.720682114,98.8887855587
197,1.96,931,1.268398472,0.041164199615,198.761846314,98.9013155474
198,1.97,918,1.255046985,0.0405894041316,198.802435718,98.9148015815
199,1.98,922,1.241637323,0.0407662642804,198.843201982,98.9280993036
200,1.99,789,1.230162026,0.0348856643354,198.878087647,98.9414549678
201,2.0,812,1.218352214,0.0359026101905,198.913990257,98.9528840557
202,2.01,773,1.207109623,0.0341782237405,198.948168481,98.964646311
203,2.02,782,1.195736134,0.0345761590751,198.98274464,98.9758436304
204,2.03,836,1.183577265,0.0369637710828,199.019708411,98.9871713196
205,2.04,758,1.172552835,0.0335149981828,199.053223409,98.9992812277
206,2.05,832,1.160452141,0.0367869109341,199.09001032,99.010261264
207,2.06,748,1.149573152,0.033072847811,199.123083168,99.02231323
208,2.07,771,1.138359649,0.0340897936661,199.157172961,99.033148411
209,2.08,700,1.128178777,0.0309505260263,199.188123487,99.0443167593
