Bins,Contribution,accum
-9.13,0,99.45449674
-9.12,0,99.45449674
-9.11,0,99.45449674
-9.10,0,99.45449674
-9.09,0,99.45449674
-9.08,0,99.45449674
-9.07,0,99.45449674
-9.06,0,99.45449674
-9.05,0,99.45449674
-9.04,0,99.45449674
-9.03,0,99.45449674
-9.02,0,99.45449674
-9.01,0,99.45449674
-9.00,0,99.45449674
-8.99,0,99.45449674
-8.98,0,99.45449674
-8.97,0,99.45449674
-8.96,5,99.45449674
-8.95,0,99.45427566
-8.94,0,99.45427566
-8.93,0,99.45427566
-8.92,0,99.45427566
-8.91,0,99.45427566
-8.90,0,99.45427566
-8.89,0,99.45427566
-8.88,0,99.45427566
-8.87,0,99.45427566
-8.86,5,99.45427566
-8.85,0,99.45405459
-8.84,0,99.45405459
-8.83,0,99.45405459
-8.82,0,99.45405459
-8.81,0,99.45405459
-8.80,0,99.45405459
-8.79,0,99.45405459
-8.78,0,99.45405459
-8.77,0,99.45405459
-8.76,0,99.45405459
-8.75,0,99.45405459
-8.74,0,99.45405459
-8.73,0,99.45405459
-8.72,0,99.45405459
-8.71,0,99.45405459
-8.70,0,99.45405459
-8.69,0,99.45405459
-8.68,0,99.45405459
-8.67,0,99.45405459
-8.66,0,99.45405459
-8.65,0,99.45405459
-8.64,0,99.45405459
-8.63,0,99.45405459
-8.62,0,99.45405459
-8.61,0,99.45405459
-8.60,0,99.45405459
-8.59,0,99.45405459
-8.58,0,99.45405459
-8.57,0,99.45405459
-8.56,0,99.45405459
-8.55,0,99.45405459
-8.54,0,99.45405459
-8.53,0,99.45405459
-8.52,0,99.45405459
-8.51,0,99.45405459
-8.50,0,99.45405459
-8.49,0,99.45405459
-8.48,0,99.45405459
-8.47,0,99.45405459
-8.46,0,99.45405459
-8.45,0,99.45405459
-8.44,0,99.45405459
-8.43,0,99.45405459
-8.42,0,99.45405459
-8.41,5,99.45405459
-8.40,0,99.45383351
-8.39,0,99.45383351
-8.38,0,99.45383351
-8.37,0,99.45383351
-8.36,0,99.45383351
-8.35,0,99.45383351
-8.34,0,99.45383351
-8.33,0,99.45383351
-8.32,5,99.45383351
-8.31,0,99.45361244
-8.30,1,99.45361244
-8.29,0,99.45356822
-8.28,0,99.45356822
-8.27,0,99.45356822
-8.26,0,99.45356822
-8.25,0,99.45356822
-8.24,0,99.45356822
-8.23,6,99.45356822
-8.22,0,99.45330293
-8.21,0,99.45330293
-8.20,0,99.45330293
-8.19,0,99.45330293
-8.18,0,99.45330293
-8.17,0,99.45330293
-8.16,0,99.45330293
-8.15,0,99.45330293
-8.14,1,99.45330293
-8.13,0,99.45325872
-8.12,0,99.45325872
-8.11,0,99.45325872
-8.10,1,99.45325872
-8.09,0,99.4532145
-8.08,0,99.4532145
-8.07,0,99.4532145
-8.06,0,99.4532145
-8.05,0,99.4532145
-8.04,0,99.4532145
-8.03,0,99.4532145
-8.02,0,99.4532145
-8.01,0,99.4532145
-8.00,1,99.4532145
-7.99,0,99.45317029
-7.98,0,99.45317029
-7.97,0,99.45317029
-7.96,0,99.45317029
-7.95,0,99.45317029
-7.94,0,99.45317029
-7.93,0,99.45317029
-7.92,0,99.45317029
-7.91,0,99.45317029
-7.90,0,99.45317029
-7.89,0,99.45317029
-7.88,0,99.45317029
-7.87,0,99.45317029
-7.86,0,99.45317029
-7.85,0,99.45317029
-7.84,0,99.45317029
-7.83,1,99.45317029
-7.82,0,99.45312607
-7.81,0,99.45312607
-7.80,0,99.45312607
-7.79,1,99.45312607
-7.78,0,99.45308186
-7.77,0,99.45308186
-7.76,0,99.45308186
-7.75,0,99.45308186
-7.74,0,99.45308186
-7.73,0,99.45308186
-7.72,0,99.45308186
-7.71,1,99.45308186
-7.70,0,99.45303764
-7.69,0,99.45303764
-7.68,0,99.45303764
-7.67,1,99.45303764
-7.66,4,99.45299343
-7.65,0,99.45281657
-7.64,0,99.45281657
-7.63,0,99.45281657
-7.62,0,99.45281657
-7.61,0,99.45281657
-7.60,0,99.45281657
-7.59,0,99.45281657
-7.58,0,99.45281657
-7.57,0,99.45281657
-7.56,5,99.45281657
-7.55,0,99.45259549
-7.54,6,99.45259549
-7.53,0,99.4523302
-7.52,0,99.4523302
-7.51,0,99.4523302
-7.50,1,99.4523302
-7.49,0,99.45228598
-7.48,0,99.45228598
-7.47,0,99.45228598
-7.46,0,99.45228598
-7.45,0,99.45228598
-7.44,0,99.45228598
-7.43,0,99.45228598
-7.42,0,99.45228598
-7.41,0,99.45228598
-7.40,0,99.45228598
-7.39,1,99.45228598
-7.38,1,99.45224177
-7.37,0,99.45219755
-7.36,0,99.45219755
-7.35,0,99.45219755
-7.34,6,99.45219755
-7.33,1,99.45193226
-7.32,0,99.45188805
-7.31,1,99.45188805
-7.30,1,99.45184383
-7.29,0,99.45179962
-7.28,0,99.45179962
-7.27,0,99.45179962
-7.26,0,99.45179962
-7.25,0,99.45179962
-7.24,0,99.45179962
-7.23,1,99.45179962
-7.22,1,99.4517554
-7.21,5,99.45171119
-7.20,0,99.45149011
-7.19,1,99.45149011
-7.18,0,99.4514459
-7.17,0,99.4514459
-7.16,1,99.4514459
-7.15,0,99.45140168
-7.14,0,99.45140168
-7.13,2,99.45140168
-7.12,0,99.45131325
-7.11,0,99.45131325
-7.10,0,99.45131325
-7.09,1,99.45131325
-7.08,2,99.45126904
-7.07,5,99.45118061
-7.06,7,99.45095953
-7.05,0,99.45065003
-7.04,0,99.45065003
-7.03,0,99.45065003
-7.02,0,99.45065003
-7.01,1,99.45065003
-7.00,2,99.45060581
-6.99,2,99.45051738
-6.98,1,99.45042895
-6.97,0,99.45038474
-6.96,10,99.45038474
-6.95,2,99.44994259
-6.94,0,99.44985416
-6.93,2,99.44985416
-6.92,1,99.44976573
-6.91,1,99.44972151
-6.90,0,99.4496773
-6.89,0,99.4496773
-6.88,0,99.4496773
-6.87,0,99.4496773
-6.86,0,99.4496773
-6.85,0,99.4496773
-6.84,0,99.4496773
-6.83,1,99.4496773
-6.82,0,99.44963308
-6.81,2,99.44963308
-6.80,0,99.44954465
-6.79,0,99.44954465
-6.78,0,99.44954465
-6.77,5,99.44954465
-6.76,1,99.44932358
-6.75,1,99.44927936
-6.74,0,99.44923515
-6.73,0,99.44923515
-6.72,5,99.44923515
-6.71,3,99.44901407
-6.70,0,99.44888143
-6.69,0,99.44888143
-6.68,0,99.44888143
-6.67,0,99.44888143
-6.66,6,99.44888143
-6.65,0,99.44861614
-6.64,11,99.44861614
-6.63,0,99.44812977
-6.62,5,99.44812977
-6.61,1,99.44790869
-6.60,1,99.44786448
-6.59,5,99.44782026
-6.58,1,99.44759919
-6.57,12,99.44755497
-6.56,2,99.44702439
-6.55,2,99.44693596
-6.54,0,99.44684753
-6.53,2,99.44684753
-6.52,1,99.4467591
-6.51,0,99.44671489
-6.50,0,99.44671489
-6.49,0,99.44671489
-6.48,10,99.44671489
-6.47,0,99.44627274
-6.46,1,99.44627274
-6.45,1,99.44622852
-6.44,0,99.44618431
-6.43,1,99.44618431
-6.42,0,99.44614009
-6.41,1,99.44614009
-6.40,0,99.44609588
-6.39,1,99.44609588
-6.38,1,99.44605166
-6.37,5,99.44600745
-6.36,1,99.44578637
-6.35,2,99.44574216
-6.34,1,99.44565373
-6.33,0,99.44560951
-6.32,0,99.44560951
-6.31,1,99.44560951
-6.30,0,99.4455653
-6.29,1,99.4455653
-6.28,1,99.44552108
-6.27,0,99.44547687
-6.26,0,99.44547687
-6.25,0,99.44547687
-6.24,3,99.44547687
-6.23,17,99.44534422
-6.22,2,99.44459256
-6.21,1,99.44450413
-6.20,1,99.44445992
-6.19,0,99.4444157
-6.18,3,99.4444157
-6.17,6,99.44428306
-6.16,3,99.44401777
-6.15,5,99.44388512
-6.14,0,99.44366405
-6.13,2,99.44366405
-6.12,0,99.44357562
-6.11,1,99.44357562
-6.10,1,99.4435314
-6.09,1,99.44348719
-6.08,0,99.44344297
-6.07,0,99.44344297
-6.06,0,99.44344297
-6.05,2,99.44344297
-6.04,1,99.44335454
-6.03,1,99.44331033
-6.02,0,99.44326611
-6.01,3,99.44326611
-6.00,5,99.44313347
-5.99,5,99.44291239
-5.98,0,99.44269132
-5.97,0,99.44269132
-5.96,3,99.44269132
-5.95,1,99.44255867
-5.94,6,99.44251446
-5.93,0,99.44224917
-5.92,0,99.44224917
-5.91,8,99.44224917
-5.90,2,99.44189545
-5.89,5,99.44180702
-5.88,1,99.44158594
-5.87,5,99.44154173
-5.86,0,99.44132065
-5.85,0,99.44132065
-5.84,1,99.44132065
-5.83,1,99.44127644
-5.82,0,99.44123222
-5.81,1,99.44123222
-5.80,1,99.44118801
-5.79,0,99.44114379
-5.78,2,99.44114379
-5.77,0,99.44105536
-5.76,0,99.44105536
-5.75,2,99.44105536
-5.74,8,99.44096693
-5.73,2,99.44061321
-5.72,2,99.44052478
-5.71,0,99.44043635
-5.70,0,99.44043635
-5.69,1,99.44043635
-5.68,8,99.44039213
-5.67,2,99.44003841
-5.66,1,99.43994998
-5.65,3,99.43990577
-5.64,2,99.43977312
-5.63,1,99.43968469
-5.62,1,99.43964048
-5.61,9,99.43959626
-5.60,6,99.43919833
-5.59,0,99.43893304
-5.58,5,99.43893304
-5.57,4,99.43871196
-5.56,0,99.4385351
-5.55,1,99.4385351
-5.54,7,99.43849089
-5.53,1,99.43818138
-5.52,6,99.43813717
-5.51,1,99.43787188
-5.50,11,99.43782766
-5.49,6,99.4373413
-5.48,3,99.43707601
-5.47,0,99.43694336
-5.46,8,99.43694336
-5.45,2,99.43658964
-5.44,1,99.43650121
-5.43,2,99.43645699
-5.42,3,99.43636856
-5.41,2,99.43623592
-5.40,2,99.43614749
-5.39,0,99.43605906
-5.38,1,99.43605906
-5.37,1,99.43601484
-5.36,2,99.43597063
-5.35,8,99.4358822
-5.34,7,99.43552848
-5.33,11,99.43521897
-5.32,2,99.43473261
-5.31,3,99.43464418
-5.30,2,99.43451153
-5.29,11,99.4344231
-5.28,10,99.43393674
-5.27,0,99.43349459
-5.26,2,99.43349459
-5.25,1,99.43340616
-5.24,1,99.43336194
-5.23,1,99.43331773
-5.22,2,99.43327351
-5.21,2,99.43318508
-5.20,7,99.43309665
-5.19,13,99.43278714
